"sample_id","alpha_family","formula_string","formula_hash","feature_hash","feature_row_hash","symbol","feature_date","date_group","feature_value","missing_reason","operator_version","parameter_summary","feature_visible_at","feature_usable_from","source_cutoff_time","label_horizon","label_start_date","label_end_date","purge_window_days","embargo_window_days","pit_check","label_isolation_check","missingness_policy","evaluation_performed","training_allowed_now","candidate_promotion","production_effect","trading_allowed","notes"
"fa_sample_001","price_momentum_family","zscore(delta(close, 21))","fc64e48de1dacd70","41d2bbe7d23ae0ec","b54ca06ef6af7a99","000020","2026-06-18","2026-06","-0.4617468162","available","formulaic_operator_contract_v0_1","lookback_window=21;lookback_min_periods=21;rank_zscore_scope=sample_cross_section_5_symbols","2026-06-18T15:30:00+09:00","2026-06-19T00:00:00+09:00","2026-06-18T15:30:00+09:00","next_month_placeholder_no_label_join","not_joined","not_joined","reserved_by_cp02","reserved_by_cp02","PASS","PASS_no_label_join","null_on_insufficient_lookback_or_missing_input_no_future_fill_v0_1","False","False","False","none","False","Paper-only materialized feature sample; not evaluated and not merge-ready for training."
"fa_sample_001","price_momentum_family","zscore(delta(close, 21))","fc64e48de1dacd70","41d2bbe7d23ae0ec","d8dcae469be1b8f9","005930","2026-06-18","2026-06","1.6830811943","available","formulaic_operator_contract_v0_1","lookback_window=21;lookback_min_periods=21;rank_zscore_scope=sample_cross_section_5_symbols","2026-06-18T15:30:00+09:00","2026-06-19T00:00:00+09:00","2026-06-18T15:30:00+09:00","next_month_placeholder_no_label_join","not_joined","not_joined","reserved_by_cp02","reserved_by_cp02","PASS","PASS_no_label_join","null_on_insufficient_lookback_or_missing_input_no_future_fill_v0_1","False","False","False","none","False","Paper-only materialized feature sample; not evaluated and not merge-ready for training."
"fa_sample_001","price_momentum_family","zscore(delta(close, 21))","fc64e48de1dacd70","41d2bbe7d23ae0ec","39922ff3e6694c7d","035420","2026-06-18","2026-06","0.4732982917","available","formulaic_operator_contract_v0_1","lookback_window=21;lookback_min_periods=21;rank_zscore_scope=sample_cross_section_5_symbols","2026-06-18T15:30:00+09:00","2026-06-19T00:00:00+09:00","2026-06-18T15:30:00+09:00","next_month_placeholder_no_label_join","not_joined","not_joined","reserved_by_cp02","reserved_by_cp02","PASS","PASS_no_label_join","null_on_insufficient_lookback_or_missing_input_no_future_fill_v0_1","False","False","False","none","False","Paper-only materialized feature sample; not evaluated and not merge-ready for training."
"fa_sample_001","price_momentum_family","zscore(delta(close, 21))","fc64e48de1dacd70","41d2bbe7d23ae0ec","3d93b6fec9461ea3","051910","2026-06-18","2026-06","-1.2308045066","available","formulaic_operator_contract_v0_1","lookback_window=21;lookback_min_periods=21;rank_zscore_scope=sample_cross_section_5_symbols","2026-06-18T15:30:00+09:00","2026-06-19T00:00:00+09:00","2026-06-18T15:30:00+09:00","next_month_placeholder_no_label_join","not_joined","not_joined","reserved_by_cp02","reserved_by_cp02","PASS","PASS_no_label_join","null_on_insufficient_lookback_or_missing_input_no_future_fill_v0_1","False","False","False","none","False","Paper-only materialized feature sample; not evaluated and not merge-ready for training."
"fa_sample_001","price_momentum_family","zscore(delta(close, 21))","fc64e48de1dacd70","41d2bbe7d23ae0ec","e29304ea44e831c1","068270","2026-06-18","2026-06","-0.4638281632","available","formulaic_operator_contract_v0_1","lookback_window=21;lookback_min_periods=21;rank_zscore_scope=sample_cross_section_5_symbols","2026-06-18T15:30:00+09:00","2026-06-19T00:00:00+09:00","2026-06-18T15:30:00+09:00","next_month_placeholder_no_label_join","not_joined","not_joined","reserved_by_cp02","reserved_by_cp02","PASS","PASS_no_label_join","null_on_insufficient_lookback_or_missing_input_no_future_fill_v0_1","False","False","False","none","False","Paper-only materialized feature sample; not evaluated and not merge-ready for training."
"fa_sample_002","price_momentum_family","rank(delta(close, 63))","e2bd30a293a37ee7","7d511e3d4021cbf3","6ad8264e1af9609a","000020","2026-06-18","2026-06","0.4000000000","available","formulaic_operator_contract_v0_1","lookback_window=63;lookback_min_periods=63;rank_zscore_scope=sample_cross_section_5_symbols","2026-06-18T15:30:00+09:00","2026-06-19T00:00:00+09:00","2026-06-18T15:30:00+09:00","next_month_placeholder_no_label_join","not_joined","not_joined","reserved_by_cp02","reserved_by_cp02","PASS","PASS_no_label_join","null_on_insufficient_lookback_or_missing_input_no_future_fill_v0_1","False","False","False","none","False","Paper-only materialized feature sample; not evaluated and not merge-ready for training."
"fa_sample_002","price_momentum_family","rank(delta(close, 63))","e2bd30a293a37ee7","7d511e3d4021cbf3","c0840eefa9a7270b","005930","2026-06-18","2026-06","1.0000000000","available","formulaic_operator_contract_v0_1","lookback_window=63;lookback_min_periods=63;rank_zscore_scope=sample_cross_section_5_symbols","2026-06-18T15:30:00+09:00","2026-06-19T00:00:00+09:00","2026-06-18T15:30:00+09:00","next_month_placeholder_no_label_join","not_joined","not_joined","reserved_by_cp02","reserved_by_cp02","PASS","PASS_no_label_join","null_on_insufficient_lookback_or_missing_input_no_future_fill_v0_1","False","False","False","none","False","Paper-only materialized feature sample; not evaluated and not merge-ready for training."
"fa_sample_002","price_momentum_family","rank(delta(close, 63))","e2bd30a293a37ee7","7d511e3d4021cbf3","12c73301be5fa63e","035420","2026-06-18","2026-06","0.6000000000","available","formulaic_operator_contract_v0_1","lookback_window=63;lookback_min_periods=63;rank_zscore_scope=sample_cross_section_5_symbols","2026-06-18T15:30:00+09:00","2026-06-19T00:00:00+09:00","2026-06-18T15:30:00+09:00","next_month_placeholder_no_label_join","not_joined","not_joined","reserved_by_cp02","reserved_by_cp02","PASS","PASS_no_label_join","null_on_insufficient_lookback_or_missing_input_no_future_fill_v0_1","False","False","False","none","False","Paper-only materialized feature sample; not evaluated and not merge-ready for training."
"fa_sample_002","price_momentum_family","rank(delta(close, 63))","e2bd30a293a37ee7","7d511e3d4021cbf3","ffeb15f189d53462","051910","2026-06-18","2026-06","0.8000000000","available","formulaic_operator_contract_v0_1","lookback_window=63;lookback_min_periods=63;rank_zscore_scope=sample_cross_section_5_symbols","2026-06-18T15:30:00+09:00","2026-06-19T00:00:00+09:00","2026-06-18T15:30:00+09:00","next_month_placeholder_no_label_join","not_joined","not_joined","reserved_by_cp02","reserved_by_cp02","PASS","PASS_no_label_join","null_on_insufficient_lookback_or_missing_input_no_future_fill_v0_1","False","False","False","none","False","Paper-only materialized feature sample; not evaluated and not merge-ready for training."
"fa_sample_002","price_momentum_family","rank(delta(close, 63))","e2bd30a293a37ee7","7d511e3d4021cbf3","26e82858b37e4555","068270","2026-06-18","2026-06","0.2000000000","available","formulaic_operator_contract_v0_1","lookback_window=63;lookback_min_periods=63;rank_zscore_scope=sample_cross_section_5_symbols","2026-06-18T15:30:00+09:00","2026-06-19T00:00:00+09:00","2026-06-18T15:30:00+09:00","next_month_placeholder_no_label_join","not_joined","not_joined","reserved_by_cp02","reserved_by_cp02","PASS","PASS_no_label_join","null_on_insufficient_lookback_or_missing_input_no_future_fill_v0_1","False","False","False","none","False","Paper-only materialized feature sample; not evaluated and not merge-ready for training."
"fa_sample_003","price_momentum_family","zscore(delta(close, 126))","ead367ea93980a3e","5b411ed02d64c6d8","f669c433e5139673","000020","2026-06-18","2026-06","-0.3771022339","available","formulaic_operator_contract_v0_1","lookback_window=126;lookback_min_periods=126;rank_zscore_scope=sample_cross_section_5_symbols","2026-06-18T15:30:00+09:00","2026-06-19T00:00:00+09:00","2026-06-18T15:30:00+09:00","next_month_placeholder_no_label_join","not_joined","not_joined","reserved_by_cp02","reserved_by_cp02","PASS","PASS_no_label_join","null_on_insufficient_lookback_or_missing_input_no_future_fill_v0_1","False","False","False","none","False","Paper-only materialized feature sample; not evaluated and not merge-ready for training."
"fa_sample_003","price_momentum_family","zscore(delta(close, 126))","ead367ea93980a3e","5b411ed02d64c6d8","0ad9b9fa665152b5","005930","2026-06-18","2026-06","1.9865943965","available","formulaic_operator_contract_v0_1","lookback_window=126;lookback_min_periods=126;rank_zscore_scope=sample_cross_section_5_symbols","2026-06-18T15:30:00+09:00","2026-06-19T00:00:00+09:00","2026-06-18T15:30:00+09:00","next_month_placeholder_no_label_join","not_joined","not_joined","reserved_by_cp02","reserved_by_cp02","PASS","PASS_no_label_join","null_on_insufficient_lookback_or_missing_input_no_future_fill_v0_1","False","False","False","none","False","Paper-only materialized feature sample; not evaluated and not merge-ready for training."
"fa_sample_003","price_momentum_family","zscore(delta(close, 126))","ead367ea93980a3e","5b411ed02d64c6d8","c90aaa753414b657","035420","2026-06-18","2026-06","-0.4873216301","available","formulaic_operator_contract_v0_1","lookback_window=126;lookback_min_periods=126;rank_zscore_scope=sample_cross_section_5_symbols","2026-06-18T15:30:00+09:00","2026-06-19T00:00:00+09:00","2026-06-18T15:30:00+09:00","next_month_placeholder_no_label_join","not_joined","not_joined","reserved_by_cp02","reserved_by_cp02","PASS","PASS_no_label_join","null_on_insufficient_lookback_or_missing_input_no_future_fill_v0_1","False","False","False","none","False","Paper-only materialized feature sample; not evaluated and not merge-ready for training."
"fa_sample_003","price_momentum_family","zscore(delta(close, 126))","ead367ea93980a3e","5b411ed02d64c6d8","eb74e49a2dcdd73f","051910","2026-06-18","2026-06","-0.7096128492","available","formulaic_operator_contract_v0_1","lookback_window=126;lookback_min_periods=126;rank_zscore_scope=sample_cross_section_5_symbols","2026-06-18T15:30:00+09:00","2026-06-19T00:00:00+09:00","2026-06-18T15:30:00+09:00","next_month_placeholder_no_label_join","not_joined","not_joined","reserved_by_cp02","reserved_by_cp02","PASS","PASS_no_label_join","null_on_insufficient_lookback_or_missing_input_no_future_fill_v0_1","False","False","False","none","False","Paper-only materialized feature sample; not evaluated and not merge-ready for training."
"fa_sample_003","price_momentum_family","zscore(delta(close, 126))","ead367ea93980a3e","5b411ed02d64c6d8","d3511f9e21cb7de3","068270","2026-06-18","2026-06","-0.4125576833","available","formulaic_operator_contract_v0_1","lookback_window=126;lookback_min_periods=126;rank_zscore_scope=sample_cross_section_5_symbols","2026-06-18T15:30:00+09:00","2026-06-19T00:00:00+09:00","2026-06-18T15:30:00+09:00","next_month_placeholder_no_label_join","not_joined","not_joined","reserved_by_cp02","reserved_by_cp02","PASS","PASS_no_label_join","null_on_insufficient_lookback_or_missing_input_no_future_fill_v0_1","False","False","False","none","False","Paper-only materialized feature sample; not evaluated and not merge-ready for training."
"fa_sample_004","mean_reversion_family","rank(zscore(delta(close, 5)))","5b15756d0fbddc1e","36dc5891bf70d9e9","fa8a29cf65bad5c6","000020","2026-06-18","2026-06","0.2000000000","available","formulaic_operator_contract_v0_1","lookback_window=5;lookback_min_periods=5;rank_zscore_scope=sample_cross_section_5_symbols","2026-06-18T15:30:00+09:00","2026-06-19T00:00:00+09:00","2026-06-18T15:30:00+09:00","next_month_placeholder_no_label_join","not_joined","not_joined","reserved_by_cp02","reserved_by_cp02","PASS","PASS_no_label_join","null_on_insufficient_lookback_or_missing_input_no_future_fill_v0_1","False","False","False","none","False","Paper-only materialized feature sample; not evaluated and not merge-ready for training."
"fa_sample_004","mean_reversion_family","rank(zscore(delta(close, 5)))","5b15756d0fbddc1e","36dc5891bf70d9e9","16f8069a266d8881","005930","2026-06-18","2026-06","1.0000000000","available","formulaic_operator_contract_v0_1","lookback_window=5;lookback_min_periods=5;rank_zscore_scope=sample_cross_section_5_symbols","2026-06-18T15:30:00+09:00","2026-06-19T00:00:00+09:00","2026-06-18T15:30:00+09:00","next_month_placeholder_no_label_join","not_joined","not_joined","reserved_by_cp02","reserved_by_cp02","PASS","PASS_no_label_join","null_on_insufficient_lookback_or_missing_input_no_future_fill_v0_1","False","False","False","none","False","Paper-only materialized feature sample; not evaluated and not merge-ready for training."
"fa_sample_004","mean_reversion_family","rank(zscore(delta(close, 5)))","5b15756d0fbddc1e","36dc5891bf70d9e9","1768424662728baf","035420","2026-06-18","2026-06","0.6000000000","available","formulaic_operator_contract_v0_1","lookback_window=5;lookback_min_periods=5;rank_zscore_scope=sample_cross_section_5_symbols","2026-06-18T15:30:00+09:00","2026-06-19T00:00:00+09:00","2026-06-18T15:30:00+09:00","next_month_placeholder_no_label_join","not_joined","not_joined","reserved_by_cp02","reserved_by_cp02","PASS","PASS_no_label_join","null_on_insufficient_lookback_or_missing_input_no_future_fill_v0_1","False","False","False","none","False","Paper-only materialized feature sample; not evaluated and not merge-ready for training."
"fa_sample_004","mean_reversion_family","rank(zscore(delta(close, 5)))","5b15756d0fbddc1e","36dc5891bf70d9e9","244492c5d92f0eb1","051910","2026-06-18","2026-06","0.8000000000","available","formulaic_operator_contract_v0_1","lookback_window=5;lookback_min_periods=5;rank_zscore_scope=sample_cross_section_5_symbols","2026-06-18T15:30:00+09:00","2026-06-19T00:00:00+09:00","2026-06-18T15:30:00+09:00","next_month_placeholder_no_label_join","not_joined","not_joined","reserved_by_cp02","reserved_by_cp02","PASS","PASS_no_label_join","null_on_insufficient_lookback_or_missing_input_no_future_fill_v0_1","False","False","False","none","False","Paper-only materialized feature sample; not evaluated and not merge-ready for training."
"fa_sample_004","mean_reversion_family","rank(zscore(delta(close, 5)))","5b15756d0fbddc1e","36dc5891bf70d9e9","d2384da39d4e4076","068270","2026-06-18","2026-06","0.4000000000","available","formulaic_operator_contract_v0_1","lookback_window=5;lookback_min_periods=5;rank_zscore_scope=sample_cross_section_5_symbols","2026-06-18T15:30:00+09:00","2026-06-19T00:00:00+09:00","2026-06-18T15:30:00+09:00","next_month_placeholder_no_label_join","not_joined","not_joined","reserved_by_cp02","reserved_by_cp02","PASS","PASS_no_label_join","null_on_insufficient_lookback_or_missing_input_no_future_fill_v0_1","False","False","False","none","False","Paper-only materialized feature sample; not evaluated and not merge-ready for training."
"fa_sample_005","volatility_regime_family","rank(rolling_std(returns, 20))","b169813beaaf19fc","1f28a13457501c96","8d113ecd85cc085f","000020","2026-06-18","2026-06","0.2000000000","available","formulaic_operator_contract_v0_1","lookback_window=20;lookback_min_periods=20;rank_zscore_scope=sample_cross_section_5_symbols","2026-06-18T15:30:00+09:00","2026-06-19T00:00:00+09:00","2026-06-18T15:30:00+09:00","next_month_placeholder_no_label_join","not_joined","not_joined","reserved_by_cp02","reserved_by_cp02","PASS","PASS_no_label_join","null_on_insufficient_lookback_or_missing_input_no_future_fill_v0_1","False","False","False","none","False","Paper-only materialized feature sample; not evaluated and not merge-ready for training."
"fa_sample_005","volatility_regime_family","rank(rolling_std(returns, 20))","b169813beaaf19fc","1f28a13457501c96","62d629ac7a00f501","005930","2026-06-18","2026-06","0.8000000000","available","formulaic_operator_contract_v0_1","lookback_window=20;lookback_min_periods=20;rank_zscore_scope=sample_cross_section_5_symbols","2026-06-18T15:30:00+09:00","2026-06-19T00:00:00+09:00","2026-06-18T15:30:00+09:00","next_month_placeholder_no_label_join","not_joined","not_joined","reserved_by_cp02","reserved_by_cp02","PASS","PASS_no_label_join","null_on_insufficient_lookback_or_missing_input_no_future_fill_v0_1","False","False","False","none","False","Paper-only materialized feature sample; not evaluated and not merge-ready for training."
"fa_sample_005","volatility_regime_family","rank(rolling_std(returns, 20))","b169813beaaf19fc","1f28a13457501c96","d962f05017d2e462","035420","2026-06-18","2026-06","1.0000000000","available","formulaic_operator_contract_v0_1","lookback_window=20;lookback_min_periods=20;rank_zscore_scope=sample_cross_section_5_symbols","2026-06-18T15:30:00+09:00","2026-06-19T00:00:00+09:00","2026-06-18T15:30:00+09:00","next_month_placeholder_no_label_join","not_joined","not_joined","reserved_by_cp02","reserved_by_cp02","PASS","PASS_no_label_join","null_on_insufficient_lookback_or_missing_input_no_future_fill_v0_1","False","False","False","none","False","Paper-only materialized feature sample; not evaluated and not merge-ready for training."
"fa_sample_005","volatility_regime_family","rank(rolling_std(returns, 20))","b169813beaaf19fc","1f28a13457501c96","677197c14dd2ecb0","051910","2026-06-18","2026-06","0.6000000000","available","formulaic_operator_contract_v0_1","lookback_window=20;lookback_min_periods=20;rank_zscore_scope=sample_cross_section_5_symbols","2026-06-18T15:30:00+09:00","2026-06-19T00:00:00+09:00","2026-06-18T15:30:00+09:00","next_month_placeholder_no_label_join","not_joined","not_joined","reserved_by_cp02","reserved_by_cp02","PASS","PASS_no_label_join","null_on_insufficient_lookback_or_missing_input_no_future_fill_v0_1","False","False","False","none","False","Paper-only materialized feature sample; not evaluated and not merge-ready for training."
"fa_sample_005","volatility_regime_family","rank(rolling_std(returns, 20))","b169813beaaf19fc","1f28a13457501c96","354849fc1bb6c14b","068270","2026-06-18","2026-06","0.4000000000","available","formulaic_operator_contract_v0_1","lookback_window=20;lookback_min_periods=20;rank_zscore_scope=sample_cross_section_5_symbols","2026-06-18T15:30:00+09:00","2026-06-19T00:00:00+09:00","2026-06-18T15:30:00+09:00","next_month_placeholder_no_label_join","not_joined","not_joined","reserved_by_cp02","reserved_by_cp02","PASS","PASS_no_label_join","null_on_insufficient_lookback_or_missing_input_no_future_fill_v0_1","False","False","False","none","False","Paper-only materialized feature sample; not evaluated and not merge-ready for training."
"fa_sample_006","price_volume_interaction_family","rank(correlation(returns, volume, 20))","237ac7d0c28d86c6","0a27df85cda3efe3","84d1f98145bc0c1f","000020","2026-06-18","2026-06","0.2000000000","available","formulaic_operator_contract_v0_1","lookback_window=20;lookback_min_periods=20;rank_zscore_scope=sample_cross_section_5_symbols","2026-06-18T15:30:00+09:00","2026-06-19T00:00:00+09:00","2026-06-18T15:30:00+09:00","next_month_placeholder_no_label_join","not_joined","not_joined","reserved_by_cp02","reserved_by_cp02","PASS","PASS_no_label_join","null_on_insufficient_lookback_or_missing_input_no_future_fill_v0_1","False","False","False","none","False","Paper-only materialized feature sample; not evaluated and not merge-ready for training."
"fa_sample_006","price_volume_interaction_family","rank(correlation(returns, volume, 20))","237ac7d0c28d86c6","0a27df85cda3efe3","d73c00c97f742a66","005930","2026-06-18","2026-06","0.4000000000","available","formulaic_operator_contract_v0_1","lookback_window=20;lookback_min_periods=20;rank_zscore_scope=sample_cross_section_5_symbols","2026-06-18T15:30:00+09:00","2026-06-19T00:00:00+09:00","2026-06-18T15:30:00+09:00","next_month_placeholder_no_label_join","not_joined","not_joined","reserved_by_cp02","reserved_by_cp02","PASS","PASS_no_label_join","null_on_insufficient_lookback_or_missing_input_no_future_fill_v0_1","False","False","False","none","False","Paper-only materialized feature sample; not evaluated and not merge-ready for training."
"fa_sample_006","price_volume_interaction_family","rank(correlation(returns, volume, 20))","237ac7d0c28d86c6","0a27df85cda3efe3","7ea93f3fbc124089","035420","2026-06-18","2026-06","1.0000000000","available","formulaic_operator_contract_v0_1","lookback_window=20;lookback_min_periods=20;rank_zscore_scope=sample_cross_section_5_symbols","2026-06-18T15:30:00+09:00","2026-06-19T00:00:00+09:00","2026-06-18T15:30:00+09:00","next_month_placeholder_no_label_join","not_joined","not_joined","reserved_by_cp02","reserved_by_cp02","PASS","PASS_no_label_join","null_on_insufficient_lookback_or_missing_input_no_future_fill_v0_1","False","False","False","none","False","Paper-only materialized feature sample; not evaluated and not merge-ready for training."
"fa_sample_006","price_volume_interaction_family","rank(correlation(returns, volume, 20))","237ac7d0c28d86c6","0a27df85cda3efe3","9506a94930d25536","051910","2026-06-18","2026-06","0.6000000000","available","formulaic_operator_contract_v0_1","lookback_window=20;lookback_min_periods=20;rank_zscore_scope=sample_cross_section_5_symbols","2026-06-18T15:30:00+09:00","2026-06-19T00:00:00+09:00","2026-06-18T15:30:00+09:00","next_month_placeholder_no_label_join","not_joined","not_joined","reserved_by_cp02","reserved_by_cp02","PASS","PASS_no_label_join","null_on_insufficient_lookback_or_missing_input_no_future_fill_v0_1","False","False","False","none","False","Paper-only materialized feature sample; not evaluated and not merge-ready for training."
"fa_sample_006","price_volume_interaction_family","rank(correlation(returns, volume, 20))","237ac7d0c28d86c6","0a27df85cda3efe3","74dc6e5e96646dbc","068270","2026-06-18","2026-06","0.8000000000","available","formulaic_operator_contract_v0_1","lookback_window=20;lookback_min_periods=20;rank_zscore_scope=sample_cross_section_5_symbols","2026-06-18T15:30:00+09:00","2026-06-19T00:00:00+09:00","2026-06-18T15:30:00+09:00","next_month_placeholder_no_label_join","not_joined","not_joined","reserved_by_cp02","reserved_by_cp02","PASS","PASS_no_label_join","null_on_insufficient_lookback_or_missing_input_no_future_fill_v0_1","False","False","False","none","False","Paper-only materialized feature sample; not evaluated and not merge-ready for training."
