"review_id","dependency_group_id","method_family","candidate_id","formula_hash","model_hash","scenario_set","member_trial_count","member_trial_ids","previous_resolution_status","manual_lineage_status","remaining_missing_fields","manual_review_basis","selection_trial_allowed","effective_trial_count_allowed_now","deflated_sharpe_allowed_now","training_allowed_now","validation_allowed_now","performance_metric_computed","formula_evaluation_performed","candidate_creation","candidate_promotion","broker_submission","order_execution","production_effect","trading_allowed","recommended_next_action","notes"
"manual_lineage_review_001","dep_group_001","cross_sectional_ml","ml_model_v1_paper_only","not_available","not_available","baseline","2","trial_ml_v1_training_validation_family;trial_ml_vs_original_comparison","unresolved","manual_review_required","formula_hash;model_hash","known_ml_v1_candidate_family_missing_model_hash","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","ML v1 family is identifiable, but model hash is not available in ledger."
"manual_lineage_review_002","dep_group_002","cross_sectional_ml","ml_model_v1_paper_only","not_available","not_available","manual_review_only","1","trial_ml_shadow_observation_final_packet","unresolved","manual_review_required","formula_hash;model_hash","known_ml_v1_candidate_family_missing_model_hash","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","ML v1 family is identifiable, but model hash is not available in ledger."
"manual_lineage_review_003","dep_group_003","cross_sectional_ml","not_available","not_available","not_available","baseline","3","trial_ml_baseline_dataset_audit;trial_ml_baseline_training_scaffold;trial_ml_baseline_validation_report","unresolved","manual_review_required","candidate_id;formula_hash;model_hash","known_ml_baseline_family_missing_model_hash","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","ML baseline family is identifiable, but not a concrete model-selection trial."
"manual_lineage_review_004","dep_group_004","formulaic_ohlcv","not_available","237ac7d0c28d86c6","not_available","manual_review_only","1","trial_formulaic_alpha_sample_006","unresolved","manual_review_required","candidate_id;model_hash","formula_hash_present_sample_not_evaluated","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","Formula hash and raw count are present, but sample-only formula rows were not evaluated or linked to a model/candidate."
"manual_lineage_review_005","dep_group_005","formulaic_ohlcv","not_available","5b15756d0fbddc1e","not_available","manual_review_only","1","trial_formulaic_alpha_sample_004","unresolved","manual_review_required","candidate_id;model_hash","formula_hash_present_sample_not_evaluated","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","Formula hash and raw count are present, but sample-only formula rows were not evaluated or linked to a model/candidate."
"manual_lineage_review_006","dep_group_006","formulaic_ohlcv","not_available","b169813beaaf19fc","not_available","manual_review_only","1","trial_formulaic_alpha_sample_005","unresolved","manual_review_required","candidate_id;model_hash","formula_hash_present_sample_not_evaluated","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","Formula hash and raw count are present, but sample-only formula rows were not evaluated or linked to a model/candidate."
"manual_lineage_review_007","dep_group_007","formulaic_ohlcv","not_available","e2bd30a293a37ee7","not_available","manual_review_only","1","trial_formulaic_alpha_sample_002","unresolved","manual_review_required","candidate_id;model_hash","formula_hash_present_sample_not_evaluated","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","Formula hash and raw count are present, but sample-only formula rows were not evaluated or linked to a model/candidate."
"manual_lineage_review_008","dep_group_008","formulaic_ohlcv","not_available","ead367ea93980a3e","not_available","manual_review_only","1","trial_formulaic_alpha_sample_003","unresolved","manual_review_required","candidate_id;model_hash","formula_hash_present_sample_not_evaluated","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","Formula hash and raw count are present, but sample-only formula rows were not evaluated or linked to a model/candidate."
"manual_lineage_review_009","dep_group_009","formulaic_ohlcv","not_available","fc64e48de1dacd70","not_available","manual_review_only","1","trial_formulaic_alpha_sample_001","unresolved","manual_review_required","candidate_id;model_hash","formula_hash_present_sample_not_evaluated","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","Formula hash and raw count are present, but sample-only formula rows were not evaluated or linked to a model/candidate."
"manual_lineage_review_010","dep_group_010","formulaic_ohlcv","not_available","not_available","not_available","manual_review_only","2","trial_formulaic_alpha_schema_plan;trial_formulaic_alpha_bootstrap_status","unresolved","unresolved","mixed","insufficient_pattern_evidence","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","Existing local evidence is insufficient for lineage resolution."
"manual_lineage_review_011","dep_group_011","macro_event_overlay","not_available","not_available","not_available","manual_review_only","1","trial_external_source_inventory_v2","unresolved","resolved_non_selection_overlay","candidate_id;formula_hash;model_hash","risk_overlay_not_model_selection_trial","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","Overlay design/report rows are not direct model-selection trials."
"manual_lineage_review_012","dep_group_012","other","252safe_recovery_rank_timing_v0","not_available","not_available","paper_diagnostic;stress","1","trial_252safe_recovery_rank_timing_v0","unresolved","manual_review_required","formula_hash;model_hash","known_monthly_candidate_or_baseline_family","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","Monthly baseline/candidate lineage is family-level and cannot be collapsed into independent ML v2 trials automatically."
"manual_lineage_review_013","dep_group_013","other","cost_turnover_aware_guard","not_available","not_available","paper_diagnostic;baseline","1","trial_cost_turnover_aware_guard","unresolved","manual_review_required","formula_hash;model_hash","known_monthly_candidate_or_baseline_family","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","Monthly baseline/candidate lineage is family-level and cannot be collapsed into independent ML v2 trials automatically."
"manual_lineage_review_014","dep_group_014","other","monthly_rebalance_current","not_available","not_available","baseline","1","trial_monthly_baseline_current","unresolved","manual_review_required","formula_hash;model_hash","known_monthly_candidate_or_baseline_family","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","Monthly baseline/candidate lineage is family-level and cannot be collapsed into independent ML v2 trials automatically."
"manual_lineage_review_015","dep_group_015","other","monthly_validation_baseline_family","not_available","not_available","baseline;stress","1","trial_monthly_baseline_validation_family","unresolved","manual_review_required","formula_hash;model_hash","known_monthly_candidate_or_baseline_family","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","Monthly baseline/candidate lineage is family-level and cannot be collapsed into independent ML v2 trials automatically."
"manual_lineage_review_016","dep_group_016","other","no_min_history_relaxation_neutral_loss_guard","not_available","not_available","paper_diagnostic;baseline","1","trial_no_min_history_relaxation_neutral_loss_guard","unresolved","manual_review_required","formula_hash;model_hash","known_monthly_candidate_or_baseline_family","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","Monthly baseline/candidate lineage is family-level and cannot be collapsed into independent ML v2 trials automatically."
"manual_lineage_review_017","dep_group_017","other","not_available","not_available","not_available","baseline;stress","1","trial_monthly_comparison_family","unresolved","manual_review_required","formula_hash;model_hash","known_monthly_candidate_or_baseline_family","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","Monthly baseline/candidate lineage is family-level and cannot be collapsed into independent ML v2 trials automatically."
"manual_lineage_review_018","dep_group_018","other","not_available","not_available","not_available","cost_sensitivity","1","trial_fee_tax_slippage_expectancy","unresolved","unresolved","mixed","insufficient_pattern_evidence","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","Existing local evidence is insufficient for lineage resolution."
"manual_lineage_review_019","dep_group_019","other","not_available","not_available","not_available","manual_review_only","3","trial_month_symbol_concentration;trial_us_quant_math_inventory;trial_candidate_trial_ledger_schema_plan","unresolved","unresolved","mixed","insufficient_pattern_evidence","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","Existing local evidence is insufficient for lineage resolution."
"manual_lineage_review_020","dep_group_020","other","not_available","not_available","not_available","paper_review;paper_diagnostic","1","trial_monthly_candidate_trial_summary","unresolved","manual_review_required","formula_hash;model_hash","known_monthly_candidate_or_baseline_family","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","Monthly baseline/candidate lineage is family-level and cannot be collapsed into independent ML v2 trials automatically."
"manual_lineage_review_021","dep_group_021","other","proxy_guard_exit_short_minus5_neutral_loss_guard55_min_history244","not_available","not_available","paper_review","1","trial_protected_candidate_blocked_order_reports","unresolved","manual_review_required","formula_hash;model_hash","known_monthly_candidate_or_baseline_family","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","Monthly baseline/candidate lineage is family-level and cannot be collapsed into independent ML v2 trials automatically."
"manual_lineage_review_022","dep_group_022","other","proxy_guard_exit_short_minus5_neutral_loss_guard55_min_history244","not_available","not_available","paper_review;baseline","1","trial_protected_paper_review_min_history244","unresolved","manual_review_required","formula_hash;model_hash","known_monthly_candidate_or_baseline_family","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","Monthly baseline/candidate lineage is family-level and cannot be collapsed into independent ML v2 trials automatically."
"manual_lineage_review_023","dep_group_023","other","sideways_recovery_preserving_guard","not_available","not_available","paper_diagnostic;baseline","1","trial_sideways_recovery_preserving_guard","unresolved","manual_review_required","formula_hash;model_hash","known_monthly_candidate_or_baseline_family","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","Monthly baseline/candidate lineage is family-level and cannot be collapsed into independent ML v2 trials automatically."
"manual_lineage_review_summary","ALL","ALL","ALL","ALL","ALL","ALL","29","multiple","unresolved","BLOCK_MANUAL_REVIEW_INSUFFICIENT_FOR_TRAINING","mixed","pattern_review_only_no_source_rewrite","False","False","False","False","False","False","False","False","False","False","False","none","False","do_not_reopen_training_gate_without_human_source_lineage_decisions","manual_review_required=19; resolved_non_selection_overlay=1; unresolved=3"
